room_number,floor,side,courtyard,active
125,1,IMPAIR,COUR D'HONNEUR,True
126,1,PAIR,COUR MONTMORENCY,True
127,1,IMPAIR,COUR D'HONNEUR,True
128,1,PAIR,COUR MONTMORENCY,True
129,1,IMPAIR,COUR D'HONNEUR,True
130,1,PAIR,COUR MONTMORENCY,True
131,1,IMPAIR,COUR D'HONNEUR,True
132,1,PAIR,COUR MONTMORENCY,True
133,1,IMPAIR,COUR D'HONNEUR,True
134,1,PAIR,COUR MONTMORENCY,True
135,1,IMPAIR,COUR D'HONNEUR,True
136,1,PAIR,COUR MONTMORENCY,True
137,1,IMPAIR,COUR D'HONNEUR,True
138,1,PAIR,COUR MONTMORENCY,True
139,1,IMPAIR,COUR D'HONNEUR,True
140,1,PAIR,COUR MONTMORENCY,True
141,1,IMPAIR,COUR D'HONNEUR,True
142,1,PAIR,COUR MONTMORENCY,True
143,1,IMPAIR,COUR D'HONNEUR,True
144,1,PAIR,COUR MONTMORENCY,True
145,1,IMPAIR,COUR D'HONNEUR,True
146,1,PAIR,COUR MONTMORENCY,True
147,1,IMPAIR,COUR D'HONNEUR,True
148,1,PAIR,COUR MONTMORENCY,True
149,1,IMPAIR,COUR D'HONNEUR,True
150,1,PAIR,COUR MONTMORENCY,True
151,1,IMPAIR,COUR D'HONNEUR,True
152,1,PAIR,COUR MONTMORENCY,True
153,1,IMPAIR,COUR D'HONNEUR,True
154,1,PAIR,COUR MONTMORENCY,True
155,1,IMPAIR,COUR D'HONNEUR,True
156,1,PAIR,COUR MONTMORENCY,True
157,1,IMPAIR,COUR D'HONNEUR,True
158,1,PAIR,COUR MONTMORENCY,True
159,1,IMPAIR,COUR D'HONNEUR,True
160,1,PAIR,COUR MONTMORENCY,True
161,1,IMPAIR,COUR D'HONNEUR,True
162,1,PAIR,COUR MONTMORENCY,True
163,1,IMPAIR,COUR D'HONNEUR,True
164,1,PAIR,COUR MONTMORENCY,True
165,1,IMPAIR,COUR D'HONNEUR,True
166,1,PAIR,COUR MONTMORENCY,True
167,1,IMPAIR,COUR D'HONNEUR,True
168,1,PAIR,COUR MONTMORENCY,True
169,1,IMPAIR,COUR D'HONNEUR,True
170,1,PAIR,COUR MONTMORENCY,True
171,1,IMPAIR,COUR D'HONNEUR,True
172,1,PAIR,COUR MONTMORENCY,True
173,1,IMPAIR,COUR D'HONNEUR,True
174,1,PAIR,COUR MONTMORENCY,True
175,1,IMPAIR,COUR D'HONNEUR,True
176,1,PAIR,COUR MONTMORENCY,True
201,2,IMPAIR,COUR D'HONNEUR,True
202,2,PAIR,COUR MONTMORENCY,True
203,2,IMPAIR,COUR D'HONNEUR,True
204,2,PAIR,COUR MONTMORENCY,True
205,2,IMPAIR,COUR D'HONNEUR,True
206,2,PAIR,COUR MONTMORENCY,True
207,2,IMPAIR,COUR D'HONNEUR,True
208,2,PAIR,COUR MONTMORENCY,True
209,2,IMPAIR,COUR D'HONNEUR,True
210,2,PAIR,COUR MONTMORENCY,True
211,2,IMPAIR,COUR D'HONNEUR,True
212,2,PAIR,COUR MONTMORENCY,True
213,2,IMPAIR,COUR D'HONNEUR,True
214,2,PAIR,COUR MONTMORENCY,True
215,2,IMPAIR,COUR D'HONNEUR,True
216,2,PAIR,COUR MONTMORENCY,True
217,2,IMPAIR,COUR D'HONNEUR,True
218,2,PAIR,COUR MONTMORENCY,True
219,2,IMPAIR,COUR D'HONNEUR,True
220,2,PAIR,COUR MONTMORENCY,True
221,2,IMPAIR,COUR D'HONNEUR,True
222,2,PAIR,COUR MONTMORENCY,True
223,2,IMPAIR,COUR D'HONNEUR,True
224,2,PAIR,COUR MONTMORENCY,True
225,2,IMPAIR,COUR D'HONNEUR,True
226,2,PAIR,COUR MONTMORENCY,True
227,2,IMPAIR,COUR D'HONNEUR,True
228,2,PAIR,COUR MONTMORENCY,True
229,2,IMPAIR,COUR D'HONNEUR,True
230,2,PAIR,COUR MONTMORENCY,True
231,2,IMPAIR,COUR D'HONNEUR,True
232,2,PAIR,COUR MONTMORENCY,True
233,2,IMPAIR,COUR D'HONNEUR,True
234,2,PAIR,COUR MONTMORENCY,True
235,2,IMPAIR,COUR D'HONNEUR,True
236,2,PAIR,COUR MONTMORENCY,True
237,2,IMPAIR,COUR D'HONNEUR,True
238,2,PAIR,COUR MONTMORENCY,True
239,2,IMPAIR,COUR D'HONNEUR,True
240,2,PAIR,COUR MONTMORENCY,True
241,2,IMPAIR,COUR D'HONNEUR,True
242,2,PAIR,COUR MONTMORENCY,True
243,2,IMPAIR,COUR D'HONNEUR,True
244,2,PAIR,COUR MONTMORENCY,True
245,2,IMPAIR,COUR D'HONNEUR,True
246,2,PAIR,COUR MONTMORENCY,True
247,2,IMPAIR,COUR D'HONNEUR,True
248,2,PAIR,COUR MONTMORENCY,True
249,2,IMPAIR,COUR D'HONNEUR,True
250,2,PAIR,COUR MONTMORENCY,True
251,2,IMPAIR,COUR D'HONNEUR,True
252,2,PAIR,COUR MONTMORENCY,True
253,2,IMPAIR,COUR D'HONNEUR,True
254,2,PAIR,COUR MONTMORENCY,True
255,2,IMPAIR,COUR D'HONNEUR,True
256,2,PAIR,COUR MONTMORENCY,True
257,2,IMPAIR,COUR D'HONNEUR,True
258,2,PAIR,COUR MONTMORENCY,True
259,2,IMPAIR,COUR D'HONNEUR,True
260,2,PAIR,COUR MONTMORENCY,True
261,2,IMPAIR,COUR D'HONNEUR,True
262,2,PAIR,COUR MONTMORENCY,True
263,2,IMPAIR,COUR D'HONNEUR,True
264,2,PAIR,COUR MONTMORENCY,True
265,2,IMPAIR,COUR D'HONNEUR,True
266,2,PAIR,COUR MONTMORENCY,True
267,2,IMPAIR,COUR D'HONNEUR,True
268,2,PAIR,COUR MONTMORENCY,True
269,2,IMPAIR,COUR D'HONNEUR,True
270,2,PAIR,COUR MONTMORENCY,True
271,2,IMPAIR,COUR D'HONNEUR,True
272,2,PAIR,COUR MONTMORENCY,True
273,2,IMPAIR,COUR D'HONNEUR,True
274,2,PAIR,COUR MONTMORENCY,True
275,2,IMPAIR,COUR D'HONNEUR,True
276,2,PAIR,COUR MONTMORENCY,True
277,2,IMPAIR,COUR D'HONNEUR,True
278,2,PAIR,COUR MONTMORENCY,True
279,2,IMPAIR,COUR D'HONNEUR,True
280,2,PAIR,COUR MONTMORENCY,True
281,2,IMPAIR,COUR D'HONNEUR,True
282,2,PAIR,COUR MONTMORENCY,True
283,2,IMPAIR,COUR D'HONNEUR,True
284,2,PAIR,COUR MONTMORENCY,True
287,2,IMPAIR,COUR D'HONNEUR,True
291,2,IMPAIR,COUR D'HONNEUR,True
302,3,PAIR,COUR MONTMORENCY,True
304,3,PAIR,COUR MONTMORENCY,True
305,3,IMPAIR,COUR D'HONNEUR,True
306,3,PAIR,COUR MONTMORENCY,True
307,3,IMPAIR,COUR D'HONNEUR,True
